#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654 -137.030176189  -53.239108858
   -3.078760801 -140.173474743  -47.236634183
   -3.015928947 -142.928143380  -40.790690471
   -2.953097094 -145.275653169  -34.095305329
   -2.890265241 -147.201843627  -27.382333211
   -2.827433388 -148.709530172  -20.842182638
   -2.764601535 -149.815351261  -14.651376463
   -2.701769682 -150.551578441   -8.975566255
   -2.638937829 -150.952235600   -3.953093436
   -2.576105976 -151.062086179    0.294828666
   -2.513274123 -150.931307416    3.677377372
   -2.450442270 -150.620735312    6.113327204
   -2.387610417 -150.184844568    7.609912772
   -2.324778564 -149.687110906    8.139070790
   -2.261946711 -149.184572910    7.776686298
   -2.199114858 -148.733499109    6.624009266
   -2.136283004 -148.375376616    4.813138044
   -2.073451151 -148.145061311    2.521446427
   -2.010619298 -148.071409921   -0.050643533
   -1.947787445 -148.158674171   -2.671797260
   -1.884955592 -148.406503524   -5.121002343
   -1.822123739 -148.794865509   -7.154090231
   -1.759291886 -149.293638869   -8.585011459
   -1.696460033 -149.854616404   -9.260059575
   -1.633628180 -150.430083478   -8.994949364
   -1.570796327 -150.956080565   -7.777837971
   -1.507964474 -151.374384066   -5.569139789
   -1.445132621 -151.622099815   -2.459997507
   -1.382300768 -151.650151147    1.478001035
   -1.319468915 -151.407798309    6.110160003
   -1.256637061 -150.859769864   11.196180355
   -1.193805208 -149.985277915   16.545850031
   -1.130973355 -148.772540388   21.868637441
   -1.068141502 -147.237737127   26.974791313
   -1.005309649 -145.386596319   31.683074389
   -0.942477796 -143.263049979   35.704283001
   -0.879645943 -140.912690981   39.009361752
   -0.816814090 -138.373154747   41.468894816
   -0.753982237 -135.718710593   42.959562886
   -0.691150384 -132.990452489   43.432813874
   -0.628318531 -130.266821095   43.019174023
   -0.565486678 -127.598714100   41.656253073
   -0.502654825 -125.044243098   39.380785753
   -0.439822972 -122.657881530   36.246390485
   -0.376991118 -120.493344451   32.363015250
   -0.314159265 -118.592265575   27.775194648
   -0.251327412 -117.000004114   22.592298917
   -0.188495559 -115.749282009   16.870517179
   -0.125663706 -114.871265853   10.709995587
   -0.062831853 -114.392794068    4.224333227
    0.000000000 -114.331151575   -2.489032661
    0.062831853 -114.694138487   -9.315609313
    0.125663706 -115.484761283  -16.074347639
    0.188495559 -116.696640981  -22.602200640
    0.251327412 -118.307539943  -28.736841895
    0.314159265 -120.280187737  -34.291104138
    0.376991118 -122.578354790  -39.016912925
    0.439822972 -125.143741818  -42.694397272
    0.502654825 -127.901204928  -45.130681263
    0.565486678 -130.757537002  -46.206404389
    0.628318531 -133.636945593  -45.698785150
    0.691150384 -136.432044900  -43.462759679
    0.753982237 -139.036838240  -39.503306369
    0.816814090 -141.342165866  -33.828564899
    0.879645943 -143.246380638  -26.553503894
    0.942477796 -144.644521981  -17.863971667
    1.005309649 -145.457939469   -7.983172752
    1.068141502 -145.620804557    2.774230673
    1.130973355 -145.088798776   14.082990453
    1.193805208 -143.844055891   25.513611561
    1.256637061 -141.884070772   36.656309975
    1.319468915 -139.246764892   47.090525628
    1.382300768 -135.989378868   56.387141358
    1.445132621 -132.191379072   64.238665373
    1.507964474 -127.954534573   70.265331947
    1.570796327 -123.403125383   74.287242708
    1.633628180 -118.673211501   76.032411982
    1.696460033 -113.899337291   75.505898880
    1.759291886 -109.228733383   72.690719429
    1.822123739 -104.807277805   67.678375423
    1.884955592 -100.768411969   60.638609147
    1.947787445  -97.225075413   51.808428993
    2.010619298  -94.289599324   41.503706159
    2.073451151  -92.035035864   30.081271755
    2.136283004  -90.525054703   17.927274559
    2.199114858  -89.791935949    5.411768006
    2.261946711  -89.842458558   -7.041840788
    2.324778564  -90.664870559  -19.050770194
    2.387610417  -92.219885592  -30.304979872
    2.450442270  -94.449340050  -40.483043732
    2.513274123  -97.272734792  -49.342124625
    2.576105976 -100.604877585  -56.699672128
    2.638937829 -104.357041216  -62.428623649
    2.701769682 -108.412606790  -66.470849847
    2.764601535 -112.668011858  -68.802554973
    2.827433388 -117.016178102  -69.507253628
    2.890265241 -121.364318855  -68.744756523
    2.953097094 -125.625277245  -66.522495481
    3.015928947 -129.694614043  -63.113767632
    3.078760801 -133.516296856  -58.634674372
