#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654  123.314196968   47.855067823
   -3.033261872  127.978332016   38.272274469
   -2.924931091  131.562578732   27.907992301
   -2.816600310  134.025644969   17.713409476
   -2.708269529  135.431961360    8.521344086
   -2.599938748  135.937467306    1.047181945
   -2.491607967  135.749528682   -4.211668874
   -2.383277185  135.130820570   -6.940520085
   -2.274946404  134.349948087   -7.174512318
   -2.166615623  133.672378592   -5.236130354
   -2.058284842  133.294827349   -1.770957129
   -1.949954061  133.330565519    2.281024216
   -1.841623280  133.789634412    5.884255306
   -1.733292499  134.561373893    8.042554774
   -1.624961717  135.450329354    7.964147664
   -1.516630936  136.185651451    5.298684949
   -1.408300155  136.493958042    0.159278520
   -1.299969374  136.136208179   -6.920449466
   -1.191638593  134.944891958  -15.104338269
   -1.083307812  132.859041671  -23.273151051
   -0.974977030  129.942101313  -30.434934251
   -0.866646249  126.344287534  -35.749555250
   -0.758315468  122.293758402  -38.721651119
   -0.649984687  118.065445223  -39.033942498
   -0.541653906  113.939263058  -36.865368398
   -0.433323125  110.169863048  -32.357913956
   -0.324992343  107.000160428  -25.790380742
   -0.216661562  104.634393560  -17.578187178
   -0.108330781  103.224412639   -8.079740966
    0.000000000  102.894356410    2.220951064
    0.108330781  103.698849070   12.792710337
    0.216661562  105.631643800   22.865494855
    0.324992343  108.587969185   31.641955640
    0.433323125  112.377499193   38.110046055
    0.541653906  116.691522027   41.382679472
    0.649984687  121.147556484   40.570539575
    0.758315468  125.277190428   35.193946695
    0.866646249  128.590119684   25.296094345
    0.974977030  130.613817453   11.528220987
    1.083307812  130.991119004   -4.988169092
    1.191638593  129.497333888  -22.679003216
    1.299969374  126.111691354  -39.605576626
    1.408300155  121.016149033  -53.942235036
    1.516630936  114.596046014  -63.933686447
    1.624961717  107.381372367  -68.437158111
    1.733292499  100.017783837  -66.769453053
    1.841623280   93.145188472  -59.192834826
    1.949954061   87.392284414  -46.390712422
    2.058284842   83.252704467  -29.684444702
    2.166615623   81.053351247  -10.777179358
    2.274946404   80.947157065    8.561819314
    2.383277185   82.872424560   26.553028193
    2.491607967   86.608874398   41.773021488
    2.599938748   91.780653527   53.117144323
    2.708269529   97.949904536   60.065054660
    2.816600310  104.627062358   62.488596347
    2.924931091  111.339251356   60.784301472
    3.033261872  117.682941189   55.674168577
