#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654  123.287346620   47.868418474
   -3.033261872  127.953026221   38.287059878
   -2.924931091  131.538860167   27.921960438
   -2.816600310  134.003312714   17.724756413
   -2.708269529  135.410650678    8.528672203
   -2.599938748  135.916693497    1.049680804
   -2.491607967  135.728729285   -4.214348007
   -2.383277185  135.109466428   -6.947985584
   -2.274946404  134.327561126   -7.185937652
   -2.166615623  133.648594985   -5.250245706
   -2.058284842  133.269440697   -1.786145459
   -1.949954061  133.303557186    2.266584153
   -1.841623280  133.761185584    5.872395504
   -1.733292499  134.531854670    8.034892569
   -1.624961717  135.420263402    7.961867787
   -1.516630936  136.155694873    5.302145357
   -1.408300155  136.464706606    0.168759542
   -1.299969374  136.108254258   -6.905827745
   -1.191638593  134.918752085  -15.085696419
   -1.083307812  132.835060363  -23.252020064
   -0.974977030  129.920470322  -30.412821972
   -0.866646249  126.325042890  -35.727825823
   -0.758315468  122.276796546  -38.701493621
   -0.649984687  118.050541450  -39.016236596
   -0.541653906  113.926110618  -36.850930601
   -0.433323125  110.158081089  -32.347122350
   -0.324992343  106.989333714  -25.783578342
   -0.216661562  104.624080068  -17.575520750
   -0.108330781  103.214166831   -8.081120335
    0.000000000  102.883757589    2.215901507
    0.108330781  103.687538028   12.784652363
    0.216661562  105.619349555   22.855399956
    0.324992343  108.574528268   31.631089227
    0.433323125  112.362904250   38.099634800
    0.541653906  116.675891229   41.373971749
    0.649984687  121.131135994   40.564550577
    0.758315468  125.260306993   35.191471133
    0.866646249  128.573106945   25.297021252
    0.974977030  130.597094284   11.532572479
    1.083307812  130.975027415   -4.980990702
    1.191638593  129.482131906  -22.669939527
    1.299969374  126.097531770  -39.595914928
    1.408300155  121.003012826  -53.933247456
    1.516630936  114.583780344  -63.926846076
    1.624961717  107.369658332  -68.433921673
    1.733292499  100.006171756  -66.770976707
    1.841623280   93.133108992  -59.199941340
    1.949954061   87.379111103  -46.403648630
    2.058284842   83.237834657  -29.702683416
    2.166615623   81.036271662  -10.799467123
    2.274946404   80.927528533    8.537418679
    2.383277185   82.850145437   26.528916544
    2.491607967   86.584117378   41.751600496
    2.599938748   91.753815946   53.100704725
    2.708269529   97.921633762   60.055227952
    2.816600310  104.598109987   62.485937937
    2.924931091  111.310385399   60.788453947
    3.033261872  117.654823995   55.683848189
